data,ticker,codbdi,tpmerc,preco_fechamento_brl,negocios,quantidade_negociada,volume_brl,ano,mes
2019-12-27,ITUB4,02,010,37.3,28886,13455300,502017562,2019,12
2019-12-30,ITUB4,02,010,37.1,21989,9225800,342892130,2019,12
2020-01-02,ITUB4,02,010,38.03,45363,20666100,781215145,2020,1
2020-01-03,ITUB4,02,010,37.63,33425,24891400,940038404,2020,1
2020-01-06,ITUB4,02,010,37.07,35021,22294700,829472521,2020,1
2020-01-07,ITUB4,02,010,36.21,35541,20000900,729492740,2020,1
2020-01-08,ITUB4,02,010,35.62,46486,25980900,934524315,2020,1
2020-01-09,ITUB4,02,010,34.91,68889,48423800,1694588742,2020,1
2020-01-10,ITUB4,02,010,34.6,50880,25521600,890022931,2020,1
2020-01-13,ITUB4,02,010,35.06,44776,29200700,1025651222,2020,1
2020-01-14,ITUB4,02,010,35.06,39725,18433300,642460363,2020,1
2020-01-15,ITUB4,02,010,34.63,49574,32757500,1134814868,2020,1
2020-01-16,ITUB4,02,010,34.7,50833,22857500,794064414,2020,1
2020-01-17,ITUB4,02,010,34.94,38325,19722900,690059367,2020,1
2020-01-20,ITUB4,02,010,34.23,45812,18322200,631180075,2020,1
2020-01-21,ITUB4,02,010,33.5,56759,26878100,907738220,2020,1
2020-01-22,ITUB4,02,010,33.7,40831,17443500,587453194,2020,1
2020-01-23,ITUB4,02,010,34.5,61152,33077600,1135769866,2020,1
2020-01-24,ITUB4,02,010,34.24,25664,14756100,505261608,2020,1
2020-01-27,ITUB4,02,010,33.5,39187,14387100,484983984,2020,1
2020-01-28,ITUB4,02,010,33.49,38923,17185400,575816260,2020,1
2020-01-29,ITUB4,02,010,32.97,52021,20071400,668022348,2020,1
2020-01-30,ITUB4,02,010,33.45,56111,41789800,1374939211,2020,1
2020-01-31,ITUB4,02,010,32.82,46118,25459800,835834207,2020,1
2020-02-03,ITUB4,02,010,32.9,41731,17586000,581744530,2020,2
2020-02-04,ITUB4,02,010,33.16,31071,15730300,522012703,2020,2
2020-02-05,ITUB4,02,010,33.36,65559,34791900,1169224544,2020,2
2020-02-06,ITUB4,02,010,33.28,33977,26487800,882603546,2020,2
2020-02-07,ITUB4,02,010,33.71,53987,37117000,1252736817,2020,2
2020-02-10,ITUB4,02,010,34.28,64274,46013800,1577076810,2020,2
2020-02-11,ITUB4,02,010,35.07,78542,95513900,3357091066,2020,2
2020-02-12,ITUB4,02,010,34.93,57332,66278200,2331973744,2020,2
2020-02-13,ITUB4,02,010,34.39,39399,20284500,697522027,2020,2
2020-02-14,ITUB4,02,010,33.81,42777,31505400,1071378085,2020,2
2020-02-17,ITUB4,02,010,33.5,30013,32235000,1084384013,2020,2
2020-02-18,ITUB4,02,010,33.64,49365,23950000,798025208,2020,2
2020-02-19,ITUB4,02,010,34.12,46080,19774200,674745910,2020,2
2020-02-20,ITUB4,02,010,34,33615,48008700,1633941357,2020,2
2020-02-21,ITUB4,02,010,32.68,37391,19501200,636884411,2020,2
2020-02-26,ITUB4,02,010,31.05,76133,35231200,1098097923,2020,2
2020-02-27,ITUB4,02,010,31.07,83309,61009500,1930859429,2020,2
2020-02-28,ITUB4,02,010,32,22462,56066500,1764073977,2020,2
2020-03-02,ITUB4,02,010,31.88,90906,51275400,1633933714,2020,3
2020-03-03,ITUB4,02,010,31.3,73564,43691000,1367573743,2020,3
2020-03-04,ITUB4,02,010,31.6,51954,31229900,981006828,2020,3
2020-03-05,ITUB4,02,010,30.52,55500,30407300,934598528,2020,3
2020-03-06,ITUB4,02,010,29.87,70310,32428300,967665083,2020,3
2020-03-09,ITUB4,02,010,27.8,4168,47479600,1322012286,2020,3
2020-03-10,ITUB4,02,010,28.49,80192,44566300,1259908862,2020,3
2020-03-11,ITUB4,02,010,26.17,72588,48242100,1273650900,2020,3
2020-03-12,ITUB4,02,010,23.6,15292,58487200,1375418550,2020,3
2020-03-13,ITUB4,02,010,26.21,77172,89695700,2252820850,2020,3
2020-03-16,ITUB4,02,010,23.8,26609,62416000,1523354116,2020,3
2020-03-17,ITUB4,02,010,25.2,44568,70493400,1785792990,2020,3
2020-03-18,ITUB4,02,010,23.45,56806,83737300,1915964043,2020,3
2020-03-19,ITUB4,02,010,22.85,60307,73652600,1676641110,2020,3
2020-03-20,ITUB4,02,010,22.05,40836,73398600,1642084657,2020,3
2020-03-23,ITUB4,02,010,20.52,25522,53457900,1098038725,2020,3
2020-03-24,ITUB4,02,010,22.5,15635,51467700,1160838493,2020,3
2020-03-25,ITUB4,02,010,23.6,98340,43889700,1029393761,2020,3
2020-03-26,ITUB4,02,010,24.25,404,50777700,1235610516,2020,3
2020-03-27,ITUB4,02,010,22.97,73971,41981300,968997527,2020,3
2020-03-30,ITUB4,02,010,24.11,50426,30225500,714702053,2020,3
2020-03-31,ITUB4,02,010,23.09,83218,40625200,948071376,2020,3
2020-04-01,ITUB4,02,010,21.4,84381,44343800,962347045,2020,4
2020-04-02,ITUB4,02,010,21.5,82303,39156300,845411251,2020,4
2020-04-03,ITUB4,02,010,20.66,87901,37393100,766760689,2020,4
2020-04-06,ITUB4,02,010,22.18,66118,39305700,875894997,2020,4
2020-04-07,ITUB4,02,010,23,77930,38049700,891407006,2020,4
2020-04-08,ITUB4,02,010,24.18,89382,40947000,981366238,2020,4
2020-04-09,ITUB4,02,010,23.5,79695,37307000,895082544,2020,4
2020-04-13,ITUB4,02,010,24,60006,21602700,508313823,2020,4
2020-04-14,ITUB4,02,010,24.3,60746,33766100,834698246,2020,4
2020-04-15,ITUB4,02,010,23.4,69918,34845100,827801198,2020,4
2020-04-16,ITUB4,02,010,22.81,72029,31071300,718952589,2020,4
2020-04-17,ITUB4,02,010,23.22,57617,25164100,579273931,2020,4
2020-04-20,ITUB4,02,010,22.64,67014,28583800,646814508,2020,4
2020-04-22,ITUB4,02,010,22.37,90282,48051200,1084584879,2020,4
2020-04-23,ITUB4,02,010,22.05,89673,41455100,922919893,2020,4
2020-04-24,ITUB4,02,010,20.88,34057,68819700,1432158691,2020,4
2020-04-27,ITUB4,02,010,21.57,72639,38416700,831547084,2020,4
2020-04-28,ITUB4,02,010,23.35,6118,58267500,1349717539,2020,4
2020-04-29,ITUB4,02,010,23.66,58061,31532100,745897696,2020,4
2020-04-30,ITUB4,02,010,22.77,71010,46293100,1059909435,2020,4
2020-05-04,ITUB4,02,010,21.89,67686,32042300,703162260,2020,5
2020-05-05,ITUB4,02,010,22.7,86918,51925500,1181589149,2020,5
2020-05-06,ITUB4,02,010,22.24,55858,29178900,649383854,2020,5
2020-05-07,ITUB4,02,010,21.44,6547,52200500,1128993901,2020,5
