ticker,model,RMSE,MAE,RMSE_RW,MAE_RW,skill_rmse_pct,skill_mae_pct
DIRR3,AR1_indiv,1225.94516843954,483.274747567362,1219.73263592932,450.868952771011,-0.509335597590765,-7.18740880186723
DIRR3,AR1_painel,1235.65825235688,465.591169276403,1219.73263592932,450.868952771011,-1.30566453323078,-3.26529835663103
DIRR3,FATOR1_painel,1238.09196629776,486.281614090833,1219.73263592932,450.868952771011,-1.50519300932348,-7.85431356543349
DIRR3,N1_painel,1242.57807608842,487.770672936731,1219.73263592932,450.868952771011,-1.87298752908227,-8.18457778893944
DMMO3,FATOR1_painel,147.603801727867,46.2137686964878,164.754367197601,43.1728151823412,10.4097789706321,-7.04367667779613
DMMO3,N1_painel,147.649671545816,46.8190698097621,164.754367197601,43.1728151823412,10.3819376340239,-8.44571893683746
DMMO3,AR1_painel,147.726916204238,45.8263591500127,164.754367197601,43.1728151823412,10.3350528929781,-6.14633063992744
DMMO3,AR1_indiv,156.318967959815,49.7782488817133,164.754367197601,43.1728151823412,5.11998521269472,-15.2999837316001
DMMO3,RW,164.754367197601,43.1728151823412,164.754367197601,43.1728151823412,0,0
DTEX3,AR1_indiv,5634.45583298891,1708.88359976256,5702.18382057047,1612.4282785214,1.18775524803736,-5.98199141791338
DTEX3,AR1_painel,5639.6010807183,1659.24490423129,5702.18382057047,1612.4282785214,1.09752231463336,-2.90348577567869
DTEX3,FATOR1_painel,5640.21367187201,1687.04034592898,5702.18382057047,1612.4282785214,1.08677921737472,-4.62731077105609
DTEX3,N1_painel,5647.44029225032,1710.81267168278,5702.18382057047,1612.4282785214,0.960044958962314,-6.10162910635566
DTEX3,RW,5702.18382057047,1612.4282785214,5702.18382057047,1612.4282785214,0,0
ECOR3,RW,5839.74833677582,1889.04861505177,5839.74833677582,1889.04861505177,0,0
ECOR3,AR1_indiv,5877.73640369339,1895.87385623179,5839.74833677582,1889.04861505177,-0.650508630283597,-0.361305745423079
ECOR3,AR1_painel,5883.17517709169,1867.47571889634,5839.74833677582,1889.04861505177,-0.743642325173188,1.14199793396171
ECOR3,N1_painel,5898.80840011747,1944.09807661903,5839.74833677582,1889.04861505177,-1.01134603643309,-2.9141368373812
ECOR3,FATOR1_painel,5906.25320887426,1970.11681147168,5839.74833677582,1889.04861505177,-1.13883113215045,-4.29148280112877
EGIE3,FATOR1_painel,5778.18322717509,1598.42680653863,5790.98632974567,1487.22270433424,0.221086734479481,-7.4772999282698
EGIE3,AR1_painel,5781.20047094472,1537.34266154433,5790.98632974567,1487.22270433424,0.168984318797039,-3.37003712114028
EGIE3,N1_painel,5782.1543808882,1568.61339220707,5790.98632974567,1487.22270433424,0.152511996308891,-5.47266308103247
EGIE3,RW,5790.98632974567,1487.22270433424,5790.98632974567,1487.22270433424,0,0
EGIE3,AR1_indiv,5826.23547400108,1600.73183594009,5790.98632974567,1487.22270433424,-0.608689819803976,-7.63228878062796
ELET3,AR1_painel,11221.8519998944,4745.46938735128,11531.8920582193,4587.47688871182,2.68854457498918,-3.44399552242367
ELET3,FATOR1_painel,11234.0137072253,4936.78612520879,11531.8920582193,4587.47688871182,2.58308306642243,-7.61440863836276
